Service_Component_WBS_aff,Urgency,KM_number,Count_Related_Interactions,Count_Related_Incidents,Count_Related_Changes,SLAFail,Open_Time_HourOfDay,Open_Time_DayOfWeek,CI_TypeSubType_aff
WBS000006,3 Medium,KM0000029,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000153,5 Very Low,KM0000412,1.0,0.0,0.0,0,9,Tuesday,application-Web Based Application
WBS000255,5 Very Low,KM0000588,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000172,5 Very Low,KM0001979,1.0,0.0,0.0,1,9,Tuesday,application-Web Based Application
WBS000146,2 High,KM0000491,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
WBS000146,2 High,KM0000491,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
WBS000047,4 Low,KM0000299,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0001541,1.0,0.0,0.0,1,10,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0001732,1.0,0.0,0.0,0,10,Tuesday,application-Web Based Application
WBS000073,4 Low,KM0000752,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
WBS000168,5 Very Low,KM0000994,1.0,0.0,0.0,0,10,Tuesday,application-Web Based Application
WBS000073,4 Low,KM0001692,1.0,0.0,0.0,0,8,Tuesday,application-Client Based Application
WBS000187,5 Very Low,KM0001446,2.0,0.0,0.0,1,8,Tuesday,computer-Desktop
WBS000128,4 Low,KM0000919,1.0,0.0,0.0,1,8,Tuesday,storage-SAN
WBS000172,2 High,KM0001979,1.0,0.0,0.0,0,8,Tuesday,application-Web Based Application
WBS000093,4 Low,KM0000353,1.0,0.0,0.0,0,8,Tuesday,application-Desktop Application
WBS000073,4 Low,KM0001450,1.0,0.0,0.0,0,8,Tuesday,subapplication-Web Based Application
WBS000092,4 Low,KM0000506,1.0,0.0,0.0,0,8,Tuesday,application-Desktop Application
WBS000118,5 Very Low,KM0001172,1.0,0.0,1.0,0,9,Tuesday,no type-no subtype
WBS000006,3 Medium,KM0000029,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000098,4 Low,KM0001209,1.0,0.0,0.0,1,9,Tuesday,application-Client Based Application
WBS000218,4 Low,KM0000905,1.0,0.0,0.0,1,9,Tuesday,application-Desktop Application
WBS000006,3 Medium,KM0000029,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000073,5 Very Low,KM0000711,1.0,0.0,0.0,1,9,Tuesday,application-Web Based Application
WBS000073,4 Low,KM0000741,1.0,0.0,0.0,0,9,Tuesday,subapplication-Web Based Application
WBS000318,4 Low,KM0001401,1.0,0.0,0.0,1,9,Tuesday,application-Web Based Application
WBS000027,3 Medium,KM0001299,1.0,0.0,0.0,0,9,Tuesday,subapplication-Server Based Application
WBS000027,3 Medium,KM0001299,1.0,0.0,0.0,0,9,Tuesday,subapplication-Server Based Application
WBS000073,4 Low,KM0000741,1.0,0.0,0.0,0,9,Tuesday,subapplication-Web Based Application
WBS000146,2 High,KM0000274,1.0,0.0,0.0,0,9,Tuesday,computer-Banking Device
WBS000199,3 Medium,KM0000940,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000146,4 Low,KM0000274,1.0,0.0,0.0,1,9,Tuesday,computer-Banking Device
WBS000073,4 Low,KM0001363,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
WBS000146,3 Medium,KM0000268,1.0,0.0,0.0,1,10,Tuesday,computer-Banking Device
WBS000187,4 Low,KM0002055,1.0,0.0,0.0,0,10,Tuesday,computer-Laptop
WBS000073,4 Low,KM0001346,1.0,0.0,0.0,0,10,Tuesday,application-Client Based Application
WBS000146,3 Medium,KM0000268,1.0,0.0,0.0,1,10,Tuesday,computer-Banking Device
WBS000125,5 Very Low,KM0001158,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0001314,1.0,0.0,0.0,1,10,Tuesday,application-Server Based Application
WBS000268,4 Low,KM0000368,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000182,3 Medium,KM0001141,1.0,0.0,0.0,0,9,Tuesday,storage-Controller
WBS000187,5 Very Low,KM0001447,1.0,0.0,0.0,0,9,Tuesday,computer-Laptop
WBS000092,5 Very Low,KM0001625,1.0,0.0,0.0,0,9,Tuesday,application-Desktop Application
WBS000187,4 Low,KM0002055,1.0,0.0,0.0,0,9,Tuesday,computer-Laptop
WBS000267,3 Medium,KM0001141,1.0,0.0,0.0,0,9,Tuesday,hardware-DataCenterEquipment
WBS000128,4 Low,KM0002059,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000172,4 Low,KM0001979,1.0,0.0,0.0,0,9,Tuesday,application-Web Based Application
WBS000073,4 Low,KM0001692,1.0,0.0,0.0,0,9,Tuesday,application-Client Based Application
WBS000128,4 Low,KM0002059,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000146,2 High,KM0000274,1.0,0.0,0.0,1,9,Tuesday,computer-Banking Device
WBS000006,3 Medium,KM0000029,44.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000014,3 Medium,KM0000426,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000094,5 Very Low,KM0000152,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000006,4 Low,KM0000029,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000146,3 Medium,KM0000268,1.0,0.0,0.0,0,9,Tuesday,computer-Banking Device
WBS000073,4 Low,KM0001685,1.0,0.0,0.0,0,9,Tuesday,application-Web Based Application
WBS000098,4 Low,KM0000922,2.0,0.0,0.0,1,9,Tuesday,computer-Omgeving
WBS000073,4 Low,KM0001363,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000128,4 Low,KM0002059,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000255,4 Low,KM0000588,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
WBS000089,4 Low,KM0000408,1.0,0.0,0.0,0,10,Tuesday,application-Desktop Application
WBS000073,4 Low,KM0001243,1.0,0.0,0.0,1,10,Tuesday,application-Web Based Application
WBS000318,5 Very Low,KM0000836,2.0,0.0,0.0,1,10,Tuesday,application-Web Based Application
WBS000146,3 Medium,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
WBS000073,5 Very Low,KM0000712,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0001243,1.0,0.0,0.0,1,10,Tuesday,application-Web Based Application
WBS000146,3 Medium,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
WBS000073,4 Low,KM0001715,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
WBS000023,4 Low,KM0000283,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0000819,2.0,0.0,0.0,1,10,Tuesday,application-Web Based Application
WBS000073,4 Low,KM0000702,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
WBS000099,3 Medium,KM0000480,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
WBS000091,4 Low,KM0000316,1.0,0.0,0.0,0,9,Tuesday,displaydevice-Monitor
WBS000073,4 Low,KM0001736,1.0,0.0,0.0,0,9,Tuesday,subapplication-Web Based Application
WBS000162,4 Low,KM0000553,1.0,0.0,0.0,1,9,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0001363,2.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000146,3 Medium,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
WBS000073,4 Low,KM0000762,2.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
WBS000146,3 Medium,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
WBS000146,3 Medium,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
WBS000223,4 Low,KM0001308,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
WBS000146,3 Medium,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
WBS000091,5 Very Low,KM0001444,2.0,0.0,0.0,1,10,Tuesday,computer-Laptop
WBS000015,4 Low,KM0000453,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
WBS000307,3 Medium,KM0001350,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBS000088,4 Low,KM0000611,1.0,0.0,0.0,1,11,Tuesday,application-Web Based Application
WBS000015,5 Very Low,KM0000454,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0000741,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
WBS000091,4 Low,KM0002009,1.0,0.0,0.0,1,11,Tuesday,computer-Laptop
WBS000073,4 Low,KM0000819,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
WBS000239,4 Low,KM0000283,1.0,0.0,0.0,0,11,Tuesday,database-Database
WBS000073,4 Low,KM0002041,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
WBS000187,5 Very Low,KM0001358,1.0,0.0,0.0,0,12,Tuesday,computer-Laptop
WBS000095,5 Very Low,KM0001545,1.0,0.0,0.0,0,12,Tuesday,subapplication-Server Based Application
WBS000187,4 Low,KM0002055,1.0,0.0,0.0,0,12,Tuesday,computer-Desktop
WBS000199,4 Low,KM0000764,1.0,0.0,0.0,1,13,Tuesday,application-Server Based Application
WBS000013,3 Medium,KM0000052,1.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
WBS000017,4 Low,KM0000096,1.0,0.0,0.0,1,13,Tuesday,application-Server Based Application
WBS000263,4 Low,KM0001106,1.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0000741,1.0,0.0,0.0,0,13,Tuesday,subapplication-Web Based Application
WBS000013,3 Medium,KM0000052,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
WBS000015,4 Low,KM0000453,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
WBS000146,2 High,KM0000274,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
WBS000006,4 Low,KM0000029,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0001007,2.0,0.0,0.0,0,10,Tuesday,application-Web Based Application
WBS000146,3 Medium,KM0000274,1.0,0.0,0.0,1,10,Tuesday,computer-Banking Device
WBS000146,2 High,KM0000274,1.0,0.0,0.0,1,10,Tuesday,computer-Banking Device
WBS000030,5 Very Low,KM0000167,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
WBS000146,2 High,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
WBS000168,5 Very Low,KM0000068,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
WBS000146,2 High,KM0000281,1.0,0.0,0.0,1,11,Tuesday,computer-Banking Device
WBS000273,3 Medium,KM0001529,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
WBS000012,3 Medium,KM0000929,1.0,0.0,0.0,1,11,Tuesday,subapplication-Web Based Application
WBS000027,5 Very Low,KM0001603,1.0,0.0,0.0,0,11,Tuesday,application-Standard Application
WBS000017,4 Low,KM0000096,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBS000015,4 Low,KM0000453,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0001769,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBS000037,3 Medium,KM0000286,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
WBS000013,3 Medium,KM0000052,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBS000146,3 Medium,KM0000268,1.0,0.0,0.0,0,11,Tuesday,computer-Banking Device
WBS000073,4 Low,KM0000758,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0001736,2.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
WBS000187,4 Low,KM0002055,1.0,0.0,0.0,0,11,Tuesday,computer-Desktop
WBS000187,4 Low,KM0002055,1.0,0.0,0.0,0,11,Tuesday,computer-Desktop
WBS000073,4 Low,KM0001096,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
WBS000187,4 Low,KM0002055,3.0,0.0,0.0,0,12,Tuesday,computer-Desktop
WBS000187,4 Low,KM0002055,2.0,0.0,0.0,0,12,Tuesday,computer-Desktop
WBS000187,4 Low,KM0002055,2.0,0.0,0.0,0,12,Tuesday,computer-Desktop
WBS000030,4 Low,KM0000283,2.0,0.0,0.0,1,11,Tuesday,application-Server Based Application
WBS000168,5 Very Low,KM0000994,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
WBS000077,4 Low,KM0000232,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0001403,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
WBS000073,4 Low,KM0001786,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBS000168,5 Very Low,KM0000994,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
WBS000015,5 Very Low,KM0000454,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
WBS000030,4 Low,KM0000283,2.0,0.0,0.0,1,11,Tuesday,application-Server Based Application
WBS000062,3 Medium,KM0000895,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0001736,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
WBS000223,4 Low,KM0001308,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBS000263,4 Low,KM0001106,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBS000263,4 Low,KM0001106,3.0,0.0,0.0,1,11,Tuesday,application-Server Based Application
WBS000151,5 Very Low,KM0000303,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
WBS000110,4 Low,KM0001094,1.0,0.0,0.0,0,12,Tuesday,application-Desktop Application
WBS000263,4 Low,KM0001106,1.0,0.0,0.0,1,12,Tuesday,application-Server Based Application
WBS000073,5 Very Low,KM0001482,1.0,0.0,0.0,1,12,Tuesday,application-Web Based Application
WBS000073,4 Low,KM0001363,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0000758,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0000758,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0000758,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0001007,1.0,0.0,0.0,0,12,Tuesday,application-Web Based Application
WBS000138,5 Very Low,KM0000126,1.0,0.0,0.0,1,12,Tuesday,application-Web Based Application
WBS000110,4 Low,KM0000833,1.0,0.0,0.0,1,12,Tuesday,application-Desktop Application
WBS000092,4 Low,KM0001968,1.0,0.0,0.0,1,12,Tuesday,application-Desktop Application
WBS000125,5 Very Low,KM0001158,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
WBS000098,4 Low,KM0000093,1.0,0.0,0.0,0,12,Tuesday,application-Citrix
WBS000052,5 Very Low,KM0000358,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0001314,1.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
WBS000015,5 Very Low,KM0000454,1.0,0.0,0.0,0,13,Tuesday,subapplication-Web Based Application
WBS000073,3 Medium,KM0001363,2.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
WBS000187,4 Low,KM0001019,1.0,0.0,0.0,1,13,Tuesday,computer-Laptop
WBS000073,4 Low,KM0001363,1.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
WBS000015,5 Very Low,KM0000454,1.0,0.0,0.0,0,13,Tuesday,subapplication-Web Based Application
WBS000168,5 Very Low,KM0000994,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
WBS000172,5 Very Low,KM0001979,1.0,0.0,0.0,1,11,Tuesday,application-Web Based Application
WBS000168,5 Very Low,KM0000994,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
WBS000263,4 Low,KM0001106,1.0,0.0,0.0,1,11,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0000741,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
WBS000187,5 Very Low,KM0001447,1.0,0.0,0.0,0,11,Tuesday,computer-Laptop
WBS000073,4 Low,KM0000741,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
WBS000187,5 Very Low,KM0001447,1.0,0.0,0.0,0,11,Tuesday,computer-Laptop
WBS000015,5 Very Low,KM0000454,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
WBS000172,5 Very Low,KM0001979,1.0,0.0,0.0,1,12,Tuesday,application-Web Based Application
WBS000172,5 Very Low,KM0001979,1.0,0.0,0.0,1,12,Tuesday,application-Web Based Application
WBS000073,4 Low,KM0000741,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0000818,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
WBS000125,5 Very Low,KM0001158,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
WBS000096,5 Very Low,KM0000112,1.0,0.0,0.0,1,13,Tuesday,application-Desktop Application
WBS000318,5 Very Low,KM0000836,1.0,0.0,0.0,0,13,Tuesday,application-Web Based Application
WBS000073,4 Low,KM0000702,1.0,0.0,0.0,1,14,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0000741,1.0,0.0,0.0,0,14,Tuesday,subapplication-Web Based Application
WBS000073,5 Very Low,KM0001154,1.0,0.0,0.0,1,14,Tuesday,application-Web Based Application
WBS000135,5 Very Low,KM0001762,1.0,0.0,0.0,0,14,Tuesday,application-Desktop Application
WBS000146,5 Very Low,KM0000036,1.0,0.0,0.0,0,14,Tuesday,computer-Banking Device
WBS000073,4 Low,KM0000741,1.0,0.0,0.0,0,14,Tuesday,subapplication-Web Based Application
WBS000092,5 Very Low,KM0001752,1.0,0.0,0.0,1,14,Tuesday,application-Desktop Application
WBS000318,5 Very Low,KM0001650,1.0,0.0,0.0,1,15,Tuesday,application-Web Based Application
WBS000088,3 Medium,KM0000611,1.0,0.0,0.0,1,15,Tuesday,application-Web Based Application
WBS000091,3 Medium,KM0001012,1.0,0.0,0.0,0,15,Tuesday,application-Desktop Application
WBS000073,4 Low,KM0000741,1.0,0.0,0.0,0,15,Tuesday,subapplication-Web Based Application
WBS000187,5 Very Low,KM0001447,1.0,0.0,0.0,1,15,Tuesday,computer-Laptop
WBS000199,4 Low,KM0000722,1.0,0.0,0.0,0,15,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0001930,1.0,0.0,0.0,0,15,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0000768,1.0,0.0,0.0,0,16,Tuesday,subapplication-Web Based Application
WBS000030,5 Very Low,KM0000166,1.0,0.0,0.0,0,16,Tuesday,application-Server Based Application
WBS000111,5 Very Low,KM0002029,1.0,0.0,0.0,0,16,Tuesday,application-Desktop Application
WBS000073,4 Low,KM0001346,2.0,0.0,0.0,1,12,Tuesday,application-Client Based Application
WBS000152,5 Very Low,KM0000081,1.0,0.0,0.0,0,12,Tuesday,application-Web Based Application
WBS000063,4 Low,KM0000687,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
WBS000152,5 Very Low,KM0000076,1.0,0.0,0.0,0,12,Tuesday,application-Web Based Application
WBS000187,4 Low,KM0002055,1.0,0.0,0.0,0,12,Tuesday,computer-Laptop
WBS000199,3 Medium,KM0000940,1.0,0.0,0.0,0,12,Tuesday,software-System Software
WBS000152,5 Very Low,KM0001178,1.0,0.0,0.0,0,12,Tuesday,application-Web Based Application
WBS000043,3 Medium,KM0001762,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
WBS000093,4 Low,KM0000337,1.0,0.0,0.0,1,12,Tuesday,application-Desktop Application
WBS000073,4 Low,KM0001363,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
WBS000073,5 Very Low,KM0000794,1.0,0.0,0.0,0,12,Tuesday,application-Web Based Application
WBS000073,4 Low,KM0001245,1.0,0.0,0.0,0,12,Tuesday,application-Web Based Application
WBS000053,4 Low,KM0000367,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
WBS000053,4 Low,KM0000367,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
WBS000271,5 Very Low,KM0001840,1.0,0.0,0.0,0,13,Tuesday,application-SAP
WBS000091,5 Very Low,KM0001444,1.0,0.0,0.0,0,13,Tuesday,computer-Laptop
WBS000073,4 Low,KM0001732,1.0,0.0,0.0,1,13,Tuesday,application-Web Based Application
WBS000073,4 Low,KM0000758,1.0,0.0,0.0,0,13,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0001646,1.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
WBS000298,4 Low,KM0001552,1.0,0.0,0.0,1,13,Tuesday,application-Web Based Application
WBS000092,3 Medium,KM0001625,1.0,0.0,0.0,1,13,Tuesday,application-Desktop Application
WBS000073,4 Low,KM0001363,1.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
WBS000111,5 Very Low,KM0002029,1.0,0.0,0.0,1,13,Tuesday,application-Desktop Application
WBS000095,5 Very Low,KM0001545,1.0,0.0,0.0,0,13,Tuesday,subapplication-Server Based Application
WBS000073,4 Low,KM0000758,1.0,0.0,0.0,0,13,Tuesday,subapplication-Web Based Application
WBS000187,5 Very Low,KM0001573,1.0,0.0,0.0,0,14,Tuesday,hardware-KVM Switches
WBS000093,4 Low,KM0001186,1.0,0.0,0.0,1,14,Tuesday,application-Desktop Application
WBS000187,5 Very Low,KM0001573,1.0,0.0,0.0,0,14,Tuesday,hardware-KVM Switches
WBS000073,4 Low,KM0001728,1.0,0.0,0.0,0,14,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0000741,1.0,0.0,0.0,0,14,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0001363,1.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0000702,1.0,0.0,0.0,0,13,Tuesday,subapplication-Web Based Application
WBS000152,5 Very Low,KM0000081,1.0,0.0,0.0,0,14,Tuesday,application-Web Based Application
WBS000182,3 Medium,KM0001141,1.0,0.0,0.0,1,14,Tuesday,storage-Controller
WBS000169,4 Low,KM0000327,1.0,0.0,0.0,0,14,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0001736,1.0,0.0,0.0,0,14,Tuesday,subapplication-Web Based Application
WBS000099,4 Low,KM0000224,1.0,0.0,0.0,0,14,Tuesday,application-Server Based Application
WBS000039,5 Very Low,KM0000190,1.0,0.0,0.0,1,14,Tuesday,application-Server Based Application
WBS000163,3 Medium,KM0000940,1.0,0.0,0.0,0,14,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0001314,1.0,0.0,0.0,0,14,Tuesday,application-Server Based Application
WBS000023,3 Medium,KM0000940,1.0,0.0,0.0,0,14,Tuesday,application-Server Based Application
WBS000172,5 Very Low,KM0000693,1.0,0.0,0.0,1,14,Tuesday,application-Web Based Application
WBS000239,4 Low,KM0000283,2.0,0.0,0.0,0,15,Tuesday,database-Database
WBS000187,4 Low,KM0002055,1.0,0.0,0.0,0,15,Tuesday,computer-Desktop
WBS000187,4 Low,KM0002055,1.0,0.0,0.0,0,15,Tuesday,computer-Desktop
WBS000187,4 Low,KM0002055,1.0,0.0,0.0,0,15,Tuesday,computer-Desktop
WBS000073,4 Low,KM0001314,1.0,0.0,0.0,0,15,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0001728,1.0,0.0,0.0,0,15,Tuesday,subapplication-Web Based Application
WBS000318,4 Low,KM0000846,1.0,0.0,0.0,1,15,Tuesday,application-Web Based Application
WBS000187,4 Low,KM0002055,1.0,0.0,0.0,0,15,Tuesday,computer-Laptop
WBS000073,4 Low,KM0000704,1.0,0.0,0.0,0,15,Tuesday,subapplication-Web Based Application
WBS000263,5 Very Low,KM0000592,1.0,0.0,0.0,1,16,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0001403,1.0,0.0,0.0,0,16,Tuesday,application-Web Based Application
WBS000234,4 Low,KM0001093,1.0,0.0,0.0,1,16,Tuesday,application-Desktop Application
WBS000163,3 Medium,KM0000940,1.0,0.0,0.0,0,16,Tuesday,application-Server Based Application
WBS000013,3 Medium,KM0000052,1.0,0.0,0.0,0,17,Tuesday,application-Server Based Application
WBS000307,3 Medium,KM0001350,1.0,0.0,0.0,0,3,Wednesday,application-Server Based Application
WBS000092,4 Low,KM0001968,1.0,0.0,0.0,0,8,Wednesday,application-Desktop Application
WBS000073,4 Low,KM0000702,1.0,0.0,0.0,0,13,Tuesday,subapplication-Web Based Application
WBS000073,4 Low,KM0000741,1.0,0.0,0.0,0,13,Tuesday,subapplication-Web Based Application
WBS000099,5 Very Low,KM0000008,1.0,0.0,0.0,0,13,Tuesday,application-Desktop Application
WBS000091,4 Low,KM0000866,1.0,0.0,0.0,1,14,Tuesday,computer-Laptop
WBS000073,4 Low,KM0001541,1.0,0.0,0.0,1,14,Tuesday,application-Server Based Application
WBS000169,4 Low,KM0000327,1.0,0.0,0.0,0,14,Tuesday,application-Server Based Application
WBS000263,4 Low,KM0001106,1.0,0.0,0.0,1,14,Tuesday,application-Server Based Application
