CI_Name_aff,Service_Component_WBS_aff,Impact,Urgency,KM_number,Count_Related_Interactions,Count_Related_Incidents,Count_Related_Changes,SLAFail,Open_Time_HourOfDay,Open_Time_DayOfWeek,CI_TypeSubType_aff
SUB000456,WBS000073,4 Low,4 Low,KM0000741,1.0,0.0,0.0,0,9,Tuesday,subapplication-Web Based Application
WBA000144,WBS000318,4 Low,4 Low,KM0001401,1.0,0.0,0.0,1,9,Tuesday,application-Web Based Application
SUB000034,WBS000027,3 Medium,3 Medium,KM0001299,1.0,0.0,0.0,0,9,Tuesday,subapplication-Server Based Application
SUB000034,WBS000027,3 Medium,3 Medium,KM0001299,1.0,0.0,0.0,0,9,Tuesday,subapplication-Server Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000741,1.0,0.0,0.0,0,9,Tuesday,subapplication-Web Based Application
CBD000666,WBS000146,2 High,2 High,KM0000274,1.0,0.0,0.0,0,9,Tuesday,computer-Banking Device
SBA000847,WBS000199,3 Medium,3 Medium,KM0000940,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
CBD000568,WBS000146,4 Low,4 Low,KM0000274,1.0,0.0,0.0,1,9,Tuesday,computer-Banking Device
SBA000462,WBS000073,4 Low,4 Low,KM0001363,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
CBD000570,WBS000146,3 Medium,3 Medium,KM0000268,1.0,0.0,0.0,1,10,Tuesday,computer-Banking Device
LAP001125,WBS000187,4 Low,4 Low,KM0002055,1.0,0.0,0.0,0,10,Tuesday,computer-Laptop
CBA000014,WBS000073,4 Low,4 Low,KM0001346,1.0,0.0,0.0,0,10,Tuesday,application-Client Based Application
CBD000572,WBS000146,3 Medium,3 Medium,KM0000268,1.0,0.0,0.0,1,10,Tuesday,computer-Banking Device
SUB000443,WBS000125,5 Very Low,5 Very Low,KM0001158,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
SBA000464,WBS000073,4 Low,4 Low,KM0001314,1.0,0.0,0.0,1,10,Tuesday,application-Server Based Application
SBA000295,WBS000268,4 Low,4 Low,KM0000368,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
CNT000017,WBS000182,3 Medium,3 Medium,KM0001141,1.0,0.0,0.0,0,9,Tuesday,storage-Controller
LAP001095,WBS000187,5 Very Low,5 Very Low,KM0001447,1.0,0.0,0.0,0,9,Tuesday,computer-Laptop
DTA000616,WBS000092,5 Very Low,5 Very Low,KM0001625,1.0,0.0,0.0,0,9,Tuesday,application-Desktop Application
LAP000071,WBS000187,4 Low,4 Low,KM0002055,1.0,0.0,0.0,0,9,Tuesday,computer-Laptop
DCE000077,WBS000267,3 Medium,3 Medium,KM0001141,1.0,0.0,0.0,0,9,Tuesday,hardware-DataCenterEquipment
SBA000659,WBS000128,4 Low,4 Low,KM0002059,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBA000148,WBS000172,4 Low,4 Low,KM0001979,1.0,0.0,0.0,0,9,Tuesday,application-Web Based Application
CBA000014,WBS000073,4 Low,4 Low,KM0001692,1.0,0.0,0.0,0,9,Tuesday,application-Client Based Application
SBA000659,WBS000128,4 Low,4 Low,KM0002059,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
CBD000419,WBS000146,2 High,2 High,KM0000274,1.0,0.0,0.0,1,9,Tuesday,computer-Banking Device
SBA000025,WBS000006,3 Medium,3 Medium,KM0000029,44.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
SBA000172,WBS000014,3 Medium,3 Medium,KM0000426,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
SBA000145,WBS000094,5 Very Low,5 Very Low,KM0000152,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
SBA000025,WBS000006,4 Low,4 Low,KM0000029,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
CBD000808,WBS000146,3 Medium,3 Medium,KM0000268,1.0,0.0,0.0,0,9,Tuesday,computer-Banking Device
WBA000058,WBS000073,4 Low,4 Low,KM0001685,1.0,0.0,0.0,0,9,Tuesday,application-Web Based Application
COM000003,WBS000098,4 Low,4 Low,KM0000922,2.0,0.0,0.0,1,9,Tuesday,computer-Omgeving
SBA000462,WBS000073,4 Low,4 Low,KM0001363,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
SBA000659,WBS000128,4 Low,4 Low,KM0002059,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
SBA000626,WBS000255,4 Low,4 Low,KM0000588,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
DTA000044,WBS000089,4 Low,4 Low,KM0000408,1.0,0.0,0.0,0,10,Tuesday,application-Desktop Application
WBA000058,WBS000073,4 Low,4 Low,KM0001243,1.0,0.0,0.0,1,10,Tuesday,application-Web Based Application
WBA000144,WBS000318,5 Very Low,5 Very Low,KM0000836,2.0,0.0,0.0,1,10,Tuesday,application-Web Based Application
CBD000478,WBS000146,3 Medium,3 Medium,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
SUB000436,WBS000073,5 Very Low,5 Very Low,KM0000712,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
WBA000058,WBS000073,4 Low,4 Low,KM0001243,1.0,0.0,0.0,1,10,Tuesday,application-Web Based Application
CBD001233,WBS000146,3 Medium,3 Medium,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
SUB000456,WBS000073,4 Low,4 Low,KM0001715,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
SBA000131,WBS000023,3 Medium,4 Low,KM0000283,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
WBA000058,WBS000073,4 Low,4 Low,KM0000819,2.0,0.0,0.0,1,10,Tuesday,application-Web Based Application
SUB000424,WBS000073,4 Low,4 Low,KM0000702,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
SBA000017,WBS000099,3 Medium,3 Medium,KM0000480,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
MON00015,WBS000091,4 Low,4 Low,KM0000316,1.0,0.0,0.0,0,9,Tuesday,displaydevice-Monitor
SUB000456,WBS000073,4 Low,4 Low,KM0001736,1.0,0.0,0.0,0,9,Tuesday,subapplication-Web Based Application
SUB000508,WBS000162,4 Low,4 Low,KM0000553,1.0,0.0,0.0,1,9,Tuesday,subapplication-Web Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001363,2.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
CBD000473,WBS000146,3 Medium,3 Medium,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
SUB000456,WBS000073,4 Low,4 Low,KM0000762,2.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
CBD000938,WBS000146,3 Medium,3 Medium,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
CBD001244,WBS000146,3 Medium,3 Medium,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
SBA000834,WBS000223,4 Low,4 Low,KM0001308,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
CBD000483,WBS000146,3 Medium,3 Medium,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
LAP000835,WBS000091,5 Very Low,5 Very Low,KM0001444,2.0,0.0,0.0,1,10,Tuesday,computer-Laptop
SUB000479,WBS000015,4 Low,4 Low,KM0000453,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
SBA000427,WBS000307,3 Medium,3 Medium,KM0001350,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBA000124,WBS000088,4 Low,4 Low,KM0000611,1.0,0.0,0.0,1,11,Tuesday,application-Web Based Application
SUB000479,WBS000015,5 Very Low,5 Very Low,KM0000454,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000741,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
LAP001551,WBS000091,4 Low,4 Low,KM0002009,1.0,0.0,0.0,1,11,Tuesday,computer-Laptop
WBA000058,WBS000073,4 Low,4 Low,KM0000819,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
ADB000010,WBS000239,3 Medium,4 Low,KM0000283,1.0,0.0,0.0,0,11,Tuesday,database-Database
SUB000456,WBS000073,4 Low,4 Low,KM0002041,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
LAP001215,WBS000187,4 Low,5 Very Low,KM0001358,1.0,0.0,0.0,0,12,Tuesday,computer-Laptop
SUB000113,WBS000095,5 Very Low,5 Very Low,KM0001545,1.0,0.0,0.0,0,12,Tuesday,subapplication-Server Based Application
DSK000107,WBS000187,4 Low,4 Low,KM0002055,1.0,0.0,0.0,0,12,Tuesday,computer-Desktop
SBA000142,WBS000199,4 Low,4 Low,KM0000764,1.0,0.0,0.0,1,13,Tuesday,application-Server Based Application
SBA000054,WBS000013,3 Medium,3 Medium,KM0000052,1.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
SBA000088,WBS000017,4 Low,4 Low,KM0000096,1.0,0.0,0.0,1,13,Tuesday,application-Server Based Application
SBA000607,WBS000263,4 Low,4 Low,KM0001106,1.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000741,1.0,0.0,0.0,0,13,Tuesday,subapplication-Web Based Application
SBA000054,WBS000013,3 Medium,3 Medium,KM0000052,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
SUB000479,WBS000015,4 Low,4 Low,KM0000453,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
CBD000884,WBS000146,2 High,2 High,KM0000274,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
SBA000025,WBS000006,4 Low,4 Low,KM0000029,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
WBA000060,WBS000073,4 Low,4 Low,KM0001007,2.0,0.0,0.0,0,10,Tuesday,application-Web Based Application
CBD000277,WBS000146,3 Medium,3 Medium,KM0000274,1.0,0.0,0.0,1,10,Tuesday,computer-Banking Device
CBD000276,WBS000146,2 High,2 High,KM0000274,1.0,0.0,0.0,1,10,Tuesday,computer-Banking Device
SBA000028,WBS000030,5 Very Low,5 Very Low,KM0000167,1.0,0.0,0.0,0,10,Tuesday,application-Server Based Application
CBD000881,WBS000146,2 High,2 High,KM0000268,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
WBA000009,WBS000168,5 Very Low,5 Very Low,KM0000068,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
CBD000716,WBS000146,2 High,2 High,KM0000281,1.0,0.0,0.0,1,11,Tuesday,computer-Banking Device
WBA000079,WBS000273,3 Medium,3 Medium,KM0001529,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
SUB000513,WBS000012,3 Medium,3 Medium,KM0000929,1.0,0.0,0.0,1,11,Tuesday,subapplication-Web Based Application
STA000017,WBS000027,5 Very Low,5 Very Low,KM0001603,1.0,0.0,0.0,0,11,Tuesday,application-Standard Application
SBA000088,WBS000017,4 Low,4 Low,KM0000096,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
SUB000479,WBS000015,4 Low,4 Low,KM0000453,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001769,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBA000044,WBS000037,3 Medium,3 Medium,KM0000286,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
SBA000054,WBS000013,3 Medium,3 Medium,KM0000052,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
CBD000666,WBS000146,3 Medium,3 Medium,KM0000268,1.0,0.0,0.0,0,11,Tuesday,computer-Banking Device
SUB000456,WBS000073,4 Low,4 Low,KM0000758,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0001736,2.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
DSK000079,WBS000187,4 Low,4 Low,KM0002055,1.0,0.0,0.0,0,11,Tuesday,computer-Desktop
DSK000102,WBS000187,4 Low,4 Low,KM0002055,1.0,0.0,0.0,0,11,Tuesday,computer-Desktop
SUB000456,WBS000073,4 Low,4 Low,KM0001096,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
DSK000100,WBS000187,4 Low,4 Low,KM0002055,3.0,0.0,0.0,0,12,Tuesday,computer-Desktop
DSK000101,WBS000187,4 Low,4 Low,KM0002055,2.0,0.0,0.0,0,12,Tuesday,computer-Desktop
DSK000103,WBS000187,4 Low,4 Low,KM0002055,2.0,0.0,0.0,0,12,Tuesday,computer-Desktop
SBA000028,WBS000030,3 Medium,4 Low,KM0000283,2.0,0.0,0.0,1,11,Tuesday,application-Server Based Application
WBA000009,WBS000168,5 Very Low,5 Very Low,KM0000994,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
SBA000284,WBS000077,4 Low,4 Low,KM0000232,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBA000103,WBS000073,4 Low,4 Low,KM0001403,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001786,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
WBA000009,WBS000168,5 Very Low,5 Very Low,KM0000994,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
SUB000479,WBS000015,5 Very Low,5 Very Low,KM0000454,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
SBA000028,WBS000030,3 Medium,4 Low,KM0000283,2.0,0.0,0.0,1,11,Tuesday,application-Server Based Application
SBA000540,WBS000062,3 Medium,3 Medium,KM0000895,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0001736,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
SBA000834,WBS000223,4 Low,4 Low,KM0001308,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
SBA000607,WBS000263,4 Low,4 Low,KM0001106,1.0,0.0,0.0,0,11,Tuesday,application-Server Based Application
SBA000607,WBS000263,4 Low,4 Low,KM0001106,3.0,0.0,0.0,1,11,Tuesday,application-Server Based Application
SBA000310,WBS000151,5 Very Low,5 Very Low,KM0000303,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
DTA000025,WBS000110,4 Low,4 Low,KM0001094,1.0,0.0,0.0,0,12,Tuesday,application-Desktop Application
SBA000607,WBS000263,4 Low,4 Low,KM0001106,1.0,0.0,0.0,1,12,Tuesday,application-Server Based Application
WBA000133,WBS000073,5 Very Low,5 Very Low,KM0001482,1.0,0.0,0.0,1,12,Tuesday,application-Web Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001363,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000758,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000758,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000758,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
WBA000060,WBS000073,4 Low,4 Low,KM0001007,1.0,0.0,0.0,0,12,Tuesday,application-Web Based Application
WBA000017,WBS000138,5 Very Low,5 Very Low,KM0000126,1.0,0.0,0.0,1,12,Tuesday,application-Web Based Application
DTA000025,WBS000110,4 Low,4 Low,KM0000833,1.0,0.0,0.0,1,12,Tuesday,application-Desktop Application
DTA000616,WBS000092,4 Low,4 Low,KM0001968,1.0,0.0,0.0,1,12,Tuesday,application-Desktop Application
SUB000443,WBS000125,5 Very Low,5 Very Low,KM0001158,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
APP000001,WBS000098,4 Low,4 Low,KM0000093,1.0,0.0,0.0,0,12,Tuesday,application-Citrix
SBA000393,WBS000052,5 Very Low,5 Very Low,KM0000358,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
SBA000464,WBS000073,4 Low,4 Low,KM0001314,1.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
SUB000479,WBS000015,5 Very Low,5 Very Low,KM0000454,1.0,0.0,0.0,0,13,Tuesday,subapplication-Web Based Application
SBA000462,WBS000073,3 Medium,3 Medium,KM0001363,2.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
LAP001638,WBS000187,4 Low,4 Low,KM0001019,1.0,0.0,0.0,1,13,Tuesday,computer-Laptop
SBA000462,WBS000073,4 Low,4 Low,KM0001363,1.0,0.0,0.0,0,13,Tuesday,application-Server Based Application
SUB000479,WBS000015,5 Very Low,5 Very Low,KM0000454,1.0,0.0,0.0,0,13,Tuesday,subapplication-Web Based Application
WBA000009,WBS000168,5 Very Low,5 Very Low,KM0000994,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
WBA000148,WBS000172,5 Very Low,5 Very Low,KM0001979,1.0,0.0,0.0,1,11,Tuesday,application-Web Based Application
WBA000009,WBS000168,5 Very Low,5 Very Low,KM0000994,1.0,0.0,0.0,0,11,Tuesday,application-Web Based Application
SBA000607,WBS000263,4 Low,4 Low,KM0001106,1.0,0.0,0.0,1,11,Tuesday,application-Server Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000741,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
LAP001214,WBS000187,5 Very Low,5 Very Low,KM0001447,1.0,0.0,0.0,0,11,Tuesday,computer-Laptop
SUB000456,WBS000073,4 Low,4 Low,KM0000741,1.0,0.0,0.0,0,11,Tuesday,subapplication-Web Based Application
LAP001352,WBS000187,5 Very Low,5 Very Low,KM0001447,1.0,0.0,0.0,0,11,Tuesday,computer-Laptop
SUB000479,WBS000015,5 Very Low,5 Very Low,KM0000454,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
WBA000148,WBS000172,5 Very Low,5 Very Low,KM0001979,1.0,0.0,0.0,1,12,Tuesday,application-Web Based Application
WBA000148,WBS000172,5 Very Low,5 Very Low,KM0001979,1.0,0.0,0.0,1,12,Tuesday,application-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000741,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
SUB000523,WBS000073,4 Low,4 Low,KM0000818,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
SUB000443,WBS000125,5 Very Low,5 Very Low,KM0001158,1.0,0.0,0.0,0,12,Tuesday,subapplication-Web Based Application
DTA000016,WBS000096,5 Very Low,5 Very Low,KM0000112,1.0,0.0,0.0,1,13,Tuesday,application-Desktop Application
WBA000144,WBS000318,5 Very Low,5 Very Low,KM0000836,1.0,0.0,0.0,0,13,Tuesday,application-Web Based Application
SUB000424,WBS000073,4 Low,4 Low,KM0000702,1.0,0.0,0.0,1,14,Tuesday,subapplication-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000741,1.0,0.0,0.0,0,14,Tuesday,subapplication-Web Based Application
WBA000133,WBS000073,5 Very Low,5 Very Low,KM0001154,1.0,0.0,0.0,1,14,Tuesday,application-Web Based Application
DTA000547,WBS000135,5 Very Low,5 Very Low,KM0001762,1.0,0.0,0.0,0,14,Tuesday,application-Desktop Application
CBD000508,WBS000146,5 Very Low,5 Very Low,KM0000036,1.0,0.0,0.0,0,14,Tuesday,computer-Banking Device
SUB000456,WBS000073,4 Low,4 Low,KM0000741,1.0,0.0,0.0,0,14,Tuesday,subapplication-Web Based Application
DTA000012,WBS000092,5 Very Low,5 Very Low,KM0001752,1.0,0.0,0.0,1,14,Tuesday,application-Desktop Application
WBA000144,WBS000318,5 Very Low,5 Very Low,KM0001650,1.0,0.0,0.0,1,15,Tuesday,application-Web Based Application
WBA000124,WBS000088,3 Medium,3 Medium,KM0000611,1.0,0.0,0.0,1,15,Tuesday,application-Web Based Application
DTA000056,WBS000091,3 Medium,3 Medium,KM0001012,1.0,0.0,0.0,0,15,Tuesday,application-Desktop Application
SUB000456,WBS000073,4 Low,4 Low,KM0000741,1.0,0.0,0.0,0,15,Tuesday,subapplication-Web Based Application
LAP001625,WBS000187,5 Very Low,5 Very Low,KM0001447,1.0,0.0,0.0,1,15,Tuesday,computer-Laptop
SBA000142,WBS000199,4 Low,4 Low,KM0000722,1.0,0.0,0.0,0,15,Tuesday,application-Server Based Application
SBA000462,WBS000073,4 Low,4 Low,KM0001930,1.0,0.0,0.0,0,15,Tuesday,application-Server Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000768,1.0,0.0,0.0,0,16,Tuesday,subapplication-Web Based Application
SBA000028,WBS000030,5 Very Low,5 Very Low,KM0000166,1.0,0.0,0.0,0,16,Tuesday,application-Server Based Application
DTA000031,WBS000111,5 Very Low,5 Very Low,KM0002029,1.0,0.0,0.0,0,16,Tuesday,application-Desktop Application
CBA000014,WBS000073,4 Low,4 Low,KM0001346,2.0,0.0,0.0,1,12,Tuesday,application-Client Based Application
WBA000011,WBS000152,5 Very Low,5 Very Low,KM0000081,1.0,0.0,0.0,0,12,Tuesday,application-Web Based Application
SBA000710,WBS000063,4 Low,4 Low,KM0000687,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
WBA000011,WBS000152,5 Very Low,5 Very Low,KM0000076,1.0,0.0,0.0,0,12,Tuesday,application-Web Based Application
LAP000055,WBS000187,4 Low,4 Low,KM0002055,1.0,0.0,0.0,0,12,Tuesday,computer-Laptop
SSW000356,WBS000199,3 Medium,3 Medium,KM0000940,1.0,0.0,0.0,0,12,Tuesday,software-System Software
WBA000011,WBS000152,5 Very Low,5 Very Low,KM0001178,1.0,0.0,0.0,0,12,Tuesday,application-Web Based Application
SBA000782,WBS000043,3 Medium,3 Medium,KM0001762,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
DTA000024,WBS000093,4 Low,4 Low,KM0000337,1.0,0.0,0.0,1,12,Tuesday,application-Desktop Application
SBA000462,WBS000073,4 Low,4 Low,KM0001363,1.0,0.0,0.0,0,12,Tuesday,application-Server Based Application
