Service_Component_WBS_aff,Urgency,KM_number,SLAFail,Open_Time_HourOfDay,Open_Time_DayOfWeek,CI_TypeSubType_aff,RelatedIncidents,RelatedChanges,RelatedInteractions
WBS000014,3 Medium,KM0000426,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000094,5 Very Low,KM0000152,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000006,4 Low,KM0000029,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000146,3 Medium,KM0000268,0,9,Tuesday,computer-Banking Device,None,None,One (1)
WBS000073,4 Low,KM0001685,0,9,Tuesday,application-Web Based Application,None,None,One (1)
WBS000098,4 Low,KM0000922,1,9,Tuesday,computer-Omgeving,None,None,Few (2-5)
WBS000073,4 Low,KM0001363,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000128,4 Low,KM0002059,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000255,4 Low,KM0000588,0,10,Tuesday,application-Server Based Application,None,None,One (1)
WBS000089,4 Low,KM0000408,0,10,Tuesday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0001243,1,10,Tuesday,application-Web Based Application,None,None,One (1)
WBS000318,5 Very Low,KM0000836,1,10,Tuesday,application-Web Based Application,None,None,Few (2-5)
WBS000146,3 Medium,KM0000268,0,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000073,5 Very Low,KM0000712,0,10,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001243,1,10,Tuesday,application-Web Based Application,None,None,One (1)
WBS000146,3 Medium,KM0000268,0,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000073,4 Low,KM0001715,0,10,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000023,4 Low,KM0000283,0,10,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000819,1,10,Tuesday,application-Web Based Application,None,None,Few (2-5)
WBS000073,4 Low,KM0000702,0,10,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000099,3 Medium,KM0000480,0,10,Tuesday,application-Server Based Application,None,None,One (1)
WBS000091,4 Low,KM0000316,0,9,Tuesday,displaydevice-Monitor,None,None,One (1)
WBS000073,4 Low,KM0001736,0,9,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000162,4 Low,KM0000553,1,9,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001363,0,9,Tuesday,application-Server Based Application,None,None,Few (2-5)
WBS000146,3 Medium,KM0000268,0,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000073,4 Low,KM0000762,0,10,Tuesday,subapplication-Web Based Application,None,None,Few (2-5)
WBS000146,3 Medium,KM0000268,0,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000146,3 Medium,KM0000268,0,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000223,4 Low,KM0001308,0,10,Tuesday,application-Server Based Application,None,None,One (1)
WBS000146,3 Medium,KM0000268,0,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000091,5 Very Low,KM0001444,1,10,Tuesday,computer-Laptop,None,None,Few (2-5)
WBS000015,4 Low,KM0000453,0,10,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000307,3 Medium,KM0001350,0,11,Tuesday,application-Server Based Application,None,None,One (1)
WBS000088,4 Low,KM0000611,1,11,Tuesday,application-Web Based Application,None,None,One (1)
WBS000015,5 Very Low,KM0000454,0,11,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,11,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000091,4 Low,KM0002009,1,11,Tuesday,computer-Laptop,None,None,One (1)
WBS000073,4 Low,KM0000819,0,11,Tuesday,application-Web Based Application,None,None,One (1)
WBS000239,4 Low,KM0000283,0,11,Tuesday,database-Database,None,None,One (1)
WBS000073,4 Low,KM0002041,0,11,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000187,5 Very Low,KM0001358,0,12,Tuesday,computer-Laptop,None,None,One (1)
WBS000095,5 Very Low,KM0001545,0,12,Tuesday,subapplication-Server Based Application,None,None,One (1)
WBS000187,4 Low,KM0002055,0,12,Tuesday,computer-Desktop,None,None,One (1)
WBS000199,4 Low,KM0000764,1,13,Tuesday,application-Server Based Application,None,None,One (1)
WBS000013,3 Medium,KM0000052,0,13,Tuesday,application-Server Based Application,None,None,One (1)
WBS000017,4 Low,KM0000096,1,13,Tuesday,application-Server Based Application,None,None,One (1)
WBS000263,4 Low,KM0001106,0,13,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,13,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000013,3 Medium,KM0000052,0,10,Tuesday,application-Server Based Application,None,None,One (1)
WBS000015,4 Low,KM0000453,0,10,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000146,2 High,KM0000274,0,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000006,4 Low,KM0000029,0,10,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001007,0,10,Tuesday,application-Web Based Application,None,None,Few (2-5)
WBS000146,3 Medium,KM0000274,1,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000146,2 High,KM0000274,1,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000030,5 Very Low,KM0000167,0,10,Tuesday,application-Server Based Application,None,None,One (1)
WBS000146,2 High,KM0000268,0,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000168,5 Very Low,KM0000068,0,11,Tuesday,application-Web Based Application,None,None,One (1)
WBS000146,2 High,KM0000281,1,11,Tuesday,computer-Banking Device,None,None,One (1)
WBS000273,3 Medium,KM0001529,0,11,Tuesday,application-Web Based Application,None,None,One (1)
WBS000012,3 Medium,KM0000929,1,11,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000027,5 Very Low,KM0001603,0,11,Tuesday,application-Standard Application,None,None,One (1)
WBS000017,4 Low,KM0000096,0,11,Tuesday,application-Server Based Application,None,None,One (1)
WBS000015,4 Low,KM0000453,0,11,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001769,0,11,Tuesday,application-Server Based Application,None,None,One (1)
WBS000037,3 Medium,KM0000286,0,11,Tuesday,application-Web Based Application,None,None,One (1)
WBS000013,3 Medium,KM0000052,0,11,Tuesday,application-Server Based Application,None,None,One (1)
WBS000146,3 Medium,KM0000268,0,11,Tuesday,computer-Banking Device,None,None,One (1)
WBS000073,4 Low,KM0000758,0,11,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001736,0,11,Tuesday,subapplication-Web Based Application,None,None,Few (2-5)
WBS000187,4 Low,KM0002055,0,11,Tuesday,computer-Desktop,None,None,One (1)
WBS000187,4 Low,KM0002055,0,11,Tuesday,computer-Desktop,None,None,One (1)
WBS000073,4 Low,KM0001096,0,12,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000187,4 Low,KM0002055,0,12,Tuesday,computer-Desktop,None,None,Few (2-5)
WBS000187,4 Low,KM0002055,0,12,Tuesday,computer-Desktop,None,None,Few (2-5)
WBS000187,4 Low,KM0002055,0,12,Tuesday,computer-Desktop,None,None,Few (2-5)
WBS000030,4 Low,KM0000283,1,11,Tuesday,application-Server Based Application,None,None,Few (2-5)
WBS000168,5 Very Low,KM0000994,0,11,Tuesday,application-Web Based Application,None,None,One (1)
WBS000077,4 Low,KM0000232,0,11,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001403,0,11,Tuesday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001786,0,11,Tuesday,application-Server Based Application,None,None,One (1)
WBS000168,5 Very Low,KM0000994,0,11,Tuesday,application-Web Based Application,None,None,One (1)
WBS000015,5 Very Low,KM0000454,0,11,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000030,4 Low,KM0000283,1,11,Tuesday,application-Server Based Application,None,None,Few (2-5)
WBS000062,3 Medium,KM0000895,0,11,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001736,0,11,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000223,4 Low,KM0001308,0,11,Tuesday,application-Server Based Application,None,None,One (1)
WBS000263,4 Low,KM0001106,0,11,Tuesday,application-Server Based Application,None,None,One (1)
WBS000263,4 Low,KM0001106,1,11,Tuesday,application-Server Based Application,None,None,Few (2-5)
WBS000151,5 Very Low,KM0000303,0,12,Tuesday,application-Server Based Application,None,None,One (1)
WBS000110,4 Low,KM0001094,0,12,Tuesday,application-Desktop Application,None,None,One (1)
WBS000263,4 Low,KM0001106,1,12,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0001482,1,12,Tuesday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001363,0,12,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000758,0,12,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000758,0,12,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000758,0,12,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001007,0,12,Tuesday,application-Web Based Application,None,None,One (1)
WBS000138,5 Very Low,KM0000126,1,12,Tuesday,application-Web Based Application,None,None,One (1)
WBS000110,4 Low,KM0000833,1,12,Tuesday,application-Desktop Application,None,None,One (1)
WBS000092,4 Low,KM0001968,1,12,Tuesday,application-Desktop Application,None,None,One (1)
WBS000125,5 Very Low,KM0001158,0,12,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000098,4 Low,KM0000093,0,12,Tuesday,application-Citrix,None,None,One (1)
WBS000052,5 Very Low,KM0000358,0,12,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001314,0,13,Tuesday,application-Server Based Application,None,None,One (1)
WBS000015,5 Very Low,KM0000454,0,13,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,3 Medium,KM0001363,0,13,Tuesday,application-Server Based Application,None,None,Few (2-5)
WBS000187,4 Low,KM0001019,1,13,Tuesday,computer-Laptop,None,None,One (1)
WBS000073,4 Low,KM0001363,0,13,Tuesday,application-Server Based Application,None,None,One (1)
WBS000015,5 Very Low,KM0000454,0,13,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000168,5 Very Low,KM0000994,0,11,Tuesday,application-Web Based Application,None,None,One (1)
WBS000172,5 Very Low,KM0001979,1,11,Tuesday,application-Web Based Application,None,None,One (1)
WBS000168,5 Very Low,KM0000994,0,11,Tuesday,application-Web Based Application,None,None,One (1)
WBS000263,4 Low,KM0001106,1,11,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,11,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000187,5 Very Low,KM0001447,0,11,Tuesday,computer-Laptop,None,None,One (1)
WBS000073,4 Low,KM0000741,0,11,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000187,5 Very Low,KM0001447,0,11,Tuesday,computer-Laptop,None,None,One (1)
WBS000015,5 Very Low,KM0000454,0,12,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000172,5 Very Low,KM0001979,1,12,Tuesday,application-Web Based Application,None,None,One (1)
WBS000172,5 Very Low,KM0001979,1,12,Tuesday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,12,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000818,0,12,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000125,5 Very Low,KM0001158,0,12,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000096,5 Very Low,KM0000112,1,13,Tuesday,application-Desktop Application,None,None,One (1)
WBS000318,5 Very Low,KM0000836,0,13,Tuesday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000702,1,14,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,14,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0001154,1,14,Tuesday,application-Web Based Application,None,None,One (1)
WBS000135,5 Very Low,KM0001762,0,14,Tuesday,application-Desktop Application,None,None,One (1)
WBS000146,5 Very Low,KM0000036,0,14,Tuesday,computer-Banking Device,None,None,One (1)
WBS000073,4 Low,KM0000741,0,14,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000092,5 Very Low,KM0001752,1,14,Tuesday,application-Desktop Application,None,None,One (1)
WBS000318,5 Very Low,KM0001650,1,15,Tuesday,application-Web Based Application,None,None,One (1)
WBS000088,3 Medium,KM0000611,1,15,Tuesday,application-Web Based Application,None,None,One (1)
WBS000091,3 Medium,KM0001012,0,15,Tuesday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,15,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000187,5 Very Low,KM0001447,1,15,Tuesday,computer-Laptop,None,None,One (1)
WBS000199,4 Low,KM0000722,0,15,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001930,0,15,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000768,0,16,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000030,5 Very Low,KM0000166,0,16,Tuesday,application-Server Based Application,None,None,One (1)
WBS000111,5 Very Low,KM0002029,0,16,Tuesday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0001346,1,12,Tuesday,application-Client Based Application,None,None,Few (2-5)
WBS000152,5 Very Low,KM0000081,0,12,Tuesday,application-Web Based Application,None,None,One (1)
WBS000063,4 Low,KM0000687,0,12,Tuesday,application-Server Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0000076,0,12,Tuesday,application-Web Based Application,None,None,One (1)
WBS000187,4 Low,KM0002055,0,12,Tuesday,computer-Laptop,None,None,One (1)
WBS000199,3 Medium,KM0000940,0,12,Tuesday,software-System Software,None,None,One (1)
WBS000152,5 Very Low,KM0001178,0,12,Tuesday,application-Web Based Application,None,None,One (1)
WBS000043,3 Medium,KM0001762,0,12,Tuesday,application-Server Based Application,None,None,One (1)
WBS000093,4 Low,KM0000337,1,12,Tuesday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0001363,0,12,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0000794,0,12,Tuesday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001245,0,12,Tuesday,application-Web Based Application,None,None,One (1)
WBS000053,4 Low,KM0000367,0,12,Tuesday,application-Server Based Application,None,None,One (1)
WBS000053,4 Low,KM0000367,0,12,Tuesday,application-Server Based Application,None,None,One (1)
WBS000271,5 Very Low,KM0001840,0,13,Tuesday,application-SAP,None,None,One (1)
WBS000091,5 Very Low,KM0001444,0,13,Tuesday,computer-Laptop,None,None,One (1)
WBS000073,4 Low,KM0001732,1,13,Tuesday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000758,0,13,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001646,0,13,Tuesday,application-Server Based Application,None,None,One (1)
WBS000298,4 Low,KM0001552,1,13,Tuesday,application-Web Based Application,None,None,One (1)
WBS000092,3 Medium,KM0001625,1,13,Tuesday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0001363,0,13,Tuesday,application-Server Based Application,None,None,One (1)
WBS000111,5 Very Low,KM0002029,1,13,Tuesday,application-Desktop Application,None,None,One (1)
WBS000095,5 Very Low,KM0001545,0,13,Tuesday,subapplication-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000758,0,13,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000187,5 Very Low,KM0001573,0,14,Tuesday,hardware-KVM Switches,None,None,One (1)
WBS000093,4 Low,KM0001186,1,14,Tuesday,application-Desktop Application,None,None,One (1)
WBS000187,5 Very Low,KM0001573,0,14,Tuesday,hardware-KVM Switches,None,None,One (1)
WBS000073,4 Low,KM0001728,0,14,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,14,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001363,0,13,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000702,0,13,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0000081,0,14,Tuesday,application-Web Based Application,None,None,One (1)
WBS000182,3 Medium,KM0001141,1,14,Tuesday,storage-Controller,None,None,One (1)
WBS000169,4 Low,KM0000327,0,14,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001736,0,14,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000099,4 Low,KM0000224,0,14,Tuesday,application-Server Based Application,None,None,One (1)
WBS000039,5 Very Low,KM0000190,1,14,Tuesday,application-Server Based Application,None,None,One (1)
WBS000163,3 Medium,KM0000940,0,14,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001314,0,14,Tuesday,application-Server Based Application,None,None,One (1)
WBS000023,3 Medium,KM0000940,0,14,Tuesday,application-Server Based Application,None,None,One (1)
WBS000172,5 Very Low,KM0000693,1,14,Tuesday,application-Web Based Application,None,None,One (1)
WBS000239,4 Low,KM0000283,0,15,Tuesday,database-Database,None,None,Few (2-5)
WBS000187,4 Low,KM0002055,0,15,Tuesday,computer-Desktop,None,None,One (1)
WBS000187,4 Low,KM0002055,0,15,Tuesday,computer-Desktop,None,None,One (1)
WBS000187,4 Low,KM0002055,0,15,Tuesday,computer-Desktop,None,None,One (1)
WBS000073,4 Low,KM0001314,0,15,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001728,0,15,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000318,4 Low,KM0000846,1,15,Tuesday,application-Web Based Application,None,None,One (1)
WBS000187,4 Low,KM0002055,0,15,Tuesday,computer-Laptop,None,None,One (1)
WBS000073,4 Low,KM0000704,0,15,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000263,5 Very Low,KM0000592,1,16,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001403,0,16,Tuesday,application-Web Based Application,None,None,One (1)
WBS000234,4 Low,KM0001093,1,16,Tuesday,application-Desktop Application,None,None,One (1)
WBS000163,3 Medium,KM0000940,0,16,Tuesday,application-Server Based Application,None,None,One (1)
WBS000013,3 Medium,KM0000052,0,17,Tuesday,application-Server Based Application,None,None,One (1)
WBS000307,3 Medium,KM0001350,0,3,Wednesday,application-Server Based Application,None,None,One (1)
WBS000092,4 Low,KM0001968,0,8,Wednesday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0000702,0,13,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,13,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000099,5 Very Low,KM0000008,0,13,Tuesday,application-Desktop Application,None,None,One (1)
WBS000091,4 Low,KM0000866,1,14,Tuesday,computer-Laptop,None,None,One (1)
WBS000073,4 Low,KM0001541,1,14,Tuesday,application-Server Based Application,None,None,One (1)
WBS000169,4 Low,KM0000327,0,14,Tuesday,application-Server Based Application,None,None,One (1)
WBS000263,4 Low,KM0001106,1,14,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000758,0,14,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000318,5 Very Low,KM0000836,1,14,Tuesday,application-Web Based Application,None,None,One (1)
WBS000186,4 Low,KM0000508,0,14,Tuesday,application-Server Based Application,None,None,Few (2-5)
WBS000187,5 Very Low,KM0001446,0,14,Tuesday,computer-Laptop,None,None,One (1)
WBS000094,5 Very Low,KM0001655,0,14,Tuesday,application-Desktop Application,None,None,One (1)
WBS000174,3 Medium,KM0001275,0,14,Tuesday,application-Desktop Application,None,None,One (1)
WBS000092,3 Medium,KM0001973,1,15,Tuesday,application-Desktop Application,None,None,Few (2-5)
WBS000073,4 Low,KM0000741,0,15,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000815,1,15,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000318,4 Low,KM0001753,0,15,Tuesday,application-Web Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0001773,1,15,Tuesday,application-Server Based Application,None,None,One (1)
WBS000245,4 Low,KM0000673,0,15,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001363,0,15,Tuesday,application-Server Based Application,None,None,One (1)
WBS000223,4 Low,KM0000979,0,16,Tuesday,application-Server Based Application,None,None,One (1)
WBS000263,4 Low,KM0001106,1,16,Tuesday,application-Server Based Application,None,None,Few (2-5)
WBS000152,5 Very Low,KM0000075,1,16,Tuesday,application-Web Based Application,None,None,One (1)
WBS000152,5 Very Low,KM0000081,0,16,Tuesday,application-Web Based Application,None,None,One (1)
